Date,DCS,VC,Desc1,Attr,Size,Item#,Last Sold,OHQty,OHExtP$,SoldQty,SoldExtP$,SoldM%,Str,PercentStockSold
4/24/2013,APP,RUNFIT,APPAREL,,,2,3/11/2013,8,0,0,0,0,NOV,
4/24/2013,APP,RUNFIT,APPAREL,,,2,3/11/2013,-1,0,0,0,0,NVL,
4/24/2013,MIS,RUNFIT,MISC. TAXABLE,,,3,4/17/2013,-1,0,0,0,0,AA,
4/24/2013,MIS,RUNFIT,MISC. TAXABLE,,,3,4/17/2013,-11,0,2,2,-900,NVL,
4/24/2013,MIS,RUNFIT,MISC. TAXABLE,,,3,4/17/2013,-1,0,1,17.5,42.86,WB,
4/24/2013,MIS,RUNFIT,MISC. TAXABLE,,,3,4/17/2013,-3,0,1,15,33.33,TC1,
4/24/2013,MIS,RUNFIT,MISC. TAXABLE,,,3,4/17/2013,-3,0,0,0,0,AAW,
4/24/2013,MIS,RUNFIT,MISC. NONTAXABLE,,,4,3/28/2013,-2,0,0,0,0,AA,
4/24/2013,MIS,RUNFIT,MISC. NONTAXABLE,,,4,3/28/2013,0,0,1,1.25,100,NOV,
4/24/2013,MIS,RUNFIT,MISC. NONTAXABLE,,,4,3/28/2013,-1,0,0,0,0,NVL,
4/24/2013,MIS,RUNFIT,MISC. NONTAXABLE,,,4,3/28/2013,-2,0,0,0,0,WB,
4/24/2013,MIS,RUNFIT,MISC. NONTAXABLE,,,4,3/28/2013,-1,0,0,0,0,TC2,
4/24/2013,MIS,RUNFIT,MISC. NONTAXABLE,,,4,3/28/2013,-2,0,0,0,0,AAW,
4/24/2013,SHORUNW,ASICS,TRABUCO 12 G-TX,B,5,5,2/12/2011,-1,-99.99,0,0,0,AA,
4/24/2013,SHORUNW,ASICS,TRABUCO 12 G-TX,B,5,5,2/12/2011,1,99.99,0,0,0,AAW,
4/24/2013,APPSHIM,NIKE,TOP SWOOSH TEE,493,S,6,2/21/2013,-1,-19.99,0,0,0,NVL,
4/24/2013,MISACCACC,NATHAN,BOTTLE STEEL,OWL,700 ML,7,4/7/2013,-1,-19.99,1,17.99,49.97,NOV,
4/24/2013,SHORUNM,NB,M1190,D,9.5,16,,1,114.99,0,0,0,AA,
4/24/2013,MISFOO,HAMMER,HAMMER GEL,BAN,26 SRV,22,,1,22.99,0,0,0,NOV,
4/24/2013,MISFOO,HAMMER,HAMMER GEL,BAN,26 SRV,22,,1,22.99,0,0,0,NVL,
4/24/2013,MISMED,SUPERF,INSOLE BLACK,,D,28,,2,79.98,0,0,0,AAW,
4/24/2013,MISMED,SUPERF,INSOLE BLACK,,E,29,4/8/2013,1,39.99,1,31.99,46.14,AAW,
4/24/2013,MISMED,SUPERF,INSOLE BLACK,,F,30,4/8/2013,1,39.99,1,31.99,46.14,AAW,
4/24/2013,SHOWALM,BROOKS,ADDICTION-WHITE,D,8.5,48,2/10/2011,2,179.98,0,0,0,AA,
4/24/2013,SHOWALM,BROOKS,ADDICTION-WHITE,D,12,55,8/21/2009,1,89.99,0,0,0,NOV,
4/24/2013,SHORUNM,NB,M1190,D,12.5,63,2/21/2013,-1,-114.99,0,0,0,NVL,
4/24/2013,SHORUNM,NB,M1190,D,14,65,2/2/2013,-1,-114.99,0,0,0,NVL,
4/24/2013,APPCAPM,NIKE,CAP RF FEATHER LITE,100,ONE,86,3/22/2013,1,19.99,0,0,0,NOV,
4/24/2013,MISBOO,NEHST,DVD RUN THE SAHARA,,ONE,99,12/16/2010,2,49.98,0,0,0,NOV,
4/24/2013,MISBOO,NEHST,DVD RUN THE SAHARA,,ONE,99,12/16/2010,2,49.98,0,0,0,AAW,
4/24/2013,SHOWALW,BROOKS,ADDICTION-BLACK,B,6.5,104,9/20/2011,1,89.99,0,0,0,AA,
4/24/2013,SHOWALW,BROOKS,ADDICTION-BLACK,B,7,105,2/1/2012,2,179.98,0,0,0,NOV,
4/24/2013,SHOWALW,BROOKS,ADDICTION-BLACK,B,9,109,1/21/2013,1,89.99,0,0,0,NOV,
