DCS,VC,Desc1,Attr,Size,Item#,Last Sold,OHQty,OHExtP$,SoldQty,SoldExtP$,SoldM%,Str
APP,RUNFIT,APPAREL,,,2,3/11/2013,8,0,0,0,0,NOV
APP,RUNFIT,APPAREL,,,2,3/11/2013,-1,0,0,0,0,NVL
APP,RUNFIT,APPAREL,,,2,3/11/2013,0,0,1,10,100,WB
APP,RUNFIT,APPAREL,,,2,3/11/2013,0,0,1,0,0,TC1
MIS,RUNFIT,MISC. TAXABLE,,,3,5/18/2013,-1,0,5,184.52,52.58,AA
MIS,RUNFIT,MISC. TAXABLE,,,3,5/18/2013,0,0,2,-163.91,121.35,NOV
MIS,RUNFIT,MISC. TAXABLE,,,3,5/18/2013,-13,0,10,195.76,10.6,NVL
MIS,RUNFIT,MISC. TAXABLE,,,3,5/18/2013,-1,0,0,0,0,WB
MIS,RUNFIT,MISC. TAXABLE,,,3,5/18/2013,0,0,0,2,100,TC2
MIS,RUNFIT,MISC. TAXABLE,,,3,5/18/2013,-3,0,1,30,41.67,TC1
MIS,RUNFIT,MISC. TAXABLE,,,3,5/18/2013,-11,0,9,192.96,18.38,AAW
MIS,RUNFIT,MISC. NONTAXABLE,,,4,5/14/2013,-2,0,0,0,0,AA
MIS,RUNFIT,MISC. NONTAXABLE,,,4,5/14/2013,148,0,27,41.84,100,NOV
MIS,RUNFIT,MISC. NONTAXABLE,,,4,5/14/2013,-2,0,0,6,100,NVL
MIS,RUNFIT,MISC. NONTAXABLE,,,4,5/14/2013,-2,0,2,25,100,WB
MIS,RUNFIT,MISC. NONTAXABLE,,,4,5/14/2013,-2,0,1,340.43,100,TC2
MIS,RUNFIT,MISC. NONTAXABLE,,,4,5/14/2013,-2,0,1,20,100,AAW
SHORUNW,ASICS,TRABUCO 12 G-TX,B,5,5,2/12/2011,-1,-99.99,0,0,0,AA
SHORUNW,ASICS,TRABUCO 12 G-TX,B,5,5,2/12/2011,1,99.99,0,0,0,AAW
APPSHIM,NIKE,TOP SWOOSH TEE,493,S,6,2/21/2013,-1,-19.99,0,0,0,NVL
MISACCACC,NATHAN,BOTTLE STEEL,OWL,700 ML,7,4/7/2013,-1,-19.99,0,0,0,NOV
SHORUNM,NB,M1190,D,9.5,16,,1,114.99,0,0,0,AA
MISFOO,HAMMER,HAMMER GEL,BAN,26 SRV,22,,1,22.99,0,0,0,NOV
MISFOO,HAMMER,HAMMER GEL,BAN,26 SRV,22,,1,22.99,0,0,0,NVL
MISMED,SUPERF,INSOLE BLACK,,D,28,,2,79.98,0,0,0,AAW
MISMED,SUPERF,INSOLE BLACK,,E,29,4/8/2013,1,39.99,0,0,0,AAW
MISMED,SUPERF,INSOLE BLACK,,F,30,4/8/2013,1,39.99,0,0,0,AAW
SHOWALM,BROOKS,ADDICTION-WHITE,D,8.5,48,2/10/2011,2,179.98,0,0,0,AA
SHOWALM,BROOKS,ADDICTION-WHITE,D,11,53,6/7/2012,0,0,1,80.99,41.02,NVL
SHOWALM,BROOKS,ADDICTION-WHITE,D,12,55,8/21/2009,1,89.99,0,0,0,NOV
SHOWALW,NB,WW812WT,2A,8,60,7/12/2012,0,0,1,89.24,44.7,AA
SHORUNM,NB,M1190,D,12.5,63,2/21/2013,-1,-114.99,0,0,0,NVL
SHORUNM,NB,M1190,D,14,65,2/2/2013,-1,-114.99,0,0,0,NVL
SHORUNM,NB,M1190,2E,8.5,70,7/20/2012,0,0,1,59.99,2.23,AA
SHORUNW,ASICS,NOOSA TRI 7,B,6,82,4/27/2013,-1,-124.99,0,0,0,NVL
APPCAPM,NIKE,CAP RF FEATHER LITE,100,ONE,86,5/8/2013,0,0,3,53.97,72.21,NOV
MISBOO,NEHST,DVD RUN THE SAHARA,,ONE,99,12/16/2010,2,49.98,0,0,0,NOV
MISBOO,NEHST,DVD RUN THE SAHARA,,ONE,99,12/16/2010,2,49.98,0,0,0,AAW
