DCS,VC,Desc1,Attr,Size,Item#,OHQty,OHExtP$,SoldQty,SoldExtP$,SoldM%,Str
APP,RUNFIT,APPAREL,,,2,8,0,0,0,0,NOV
APP,RUNFIT,APPAREL,,,2,-1,0,0,0,0,NVL
MIS,RUNFIT,MISC. TAXABLE,,,3,0,0,0,0,0,WHS
MIS,RUNFIT,MISC. TAXABLE,,,3,-1,0,0,0,0,AA
MIS,RUNFIT,MISC. TAXABLE,,,3,-1,0,1,20,50,NOV
MIS,RUNFIT,MISC. TAXABLE,,,3,-16,0,5,165.98,69.88,NVL
MIS,RUNFIT,MISC. TAXABLE,,,3,-1,0,0,0,0,WB
MIS,RUNFIT,MISC. TAXABLE,,,3,-3,0,0,0,0,TC1
MIS,RUNFIT,MISC. TAXABLE,,,3,-21,0,17,149.67,-13.58,AAW
MIS,RUNFIT,MISC. NONTAXABLE,,,4,0,0,0,324.1,100,WHS
MIS,RUNFIT,MISC. NONTAXABLE,,,4,-2,0,0,0,0,AA
MIS,RUNFIT,MISC. NONTAXABLE,,,4,148,0,-148,50,100,NOV
MIS,RUNFIT,MISC. NONTAXABLE,,,4,-3,0,1,0,0,NVL
MIS,RUNFIT,MISC. NONTAXABLE,,,4,-2,0,0,0,0,WB
MIS,RUNFIT,MISC. NONTAXABLE,,,4,-7,0,6,40,100,TC2
MIS,RUNFIT,MISC. NONTAXABLE,,,4,-10,0,8,197,100,AAW
SHORUNW,ASICS,TRABUCO 12 G-TX,B,5,5,-1,-99.99,0,0,0,AA
SHORUNW,ASICS,TRABUCO 12 G-TX,B,5,5,1,99.99,0,0,0,AAW
APPSHIM,NIKE,TOP SWOOSH TEE,493,S,6,-1,-19.99,0,0,0,NVL
MISACCACC,NATHAN,BOTTLE STEEL,OWL,700 ML,7,-1,-19.99,0,0,0,NOV
MISACCACC,HAMMER,BOTTLE HAMMER,,24 OZ,11,5,19.95,0,0,0,WB
SHORUNM,NB,M1190,D,9.5,16,1,114.99,0,0,0,AA
MISFOO,HAMMER,HAMMER GEL,BAN,26 SRV,22,1,22.99,0,0,0,NOV
MISFOO,HAMMER,HAMMER GEL,BAN,26 SRV,22,1,22.99,0,0,0,NVL
MISMED,SUPERF,INSOLE BLACK,,D,28,1,39.99,1,17.23,0,AAW
MISMED,SUPERF,INSOLE BLACK,,E,29,1,39.99,0,0,0,AAW
MISMED,SUPERF,INSOLE BLACK,,F,30,1,39.99,0,0,0,AAW
SHORUNM,SAUCON,VIRRATA,D,10,39,-1,-89.99,0,0,0,AA
SHOWALM,BROOKS,ADDICTION-WHITE,D,8.5,48,1,89.99,1,49.99,4.68,AA
SHORUNM,NB,M1190,D,12.5,63,-1,-114.99,0,0,0,NVL
SHORUNM,NB,M1190,D,13,64,-1,-114.99,1,114.99,44.56,NVL
SHORUNM,NB,M1190,D,14,65,-1,-114.99,0,0,0,NVL
SHORUNW,ASICS,NOOSA TRI 7,B,6,82,-1,-124.99,0,0,0,NVL
APPCAPM,NIKE,CAP RF FEATHER LITE,100,ONE,86,0,0,1,16.99,70.57,NOV
MISBOO,NEHST,DVD RUN THE SAHARA,,ONE,99,2,49.98,0,0,0,NOV
MISBOO,NEHST,DVD RUN THE SAHARA,,ONE,99,2,49.98,0,0,0,AAW
APPSINW,HIND T,TOP TIARA SINGLET,GLD/WHT,S,102,2,91.98,0,0,0,TC1
SHOWALW,BROOKS,ADDICTION-BLACK,B,6.5,104,1,89.99,0,0,0,AA
SHOWALW,BROOKS,ADDICTION-BLACK,B,9,109,-1,-89.99,0,0,0,NVL
SHOWALW,NB,WW812WT,2A,9.5,112,1,104.99,0,0,0,AA
SHOWALW,NB,WW812WT,2A,10,115,1,104.99,0,0,0,NVL
SHORUNM,ASICS,DS TRAINER 16,D,10,139,0,0,1,79.99,50.83,AA
SHORUNM,ASICS,DS TRAINER 16,D,11,141,1,109.99,0,0,0,AA
MISACCACC,YURBUD,HEADPHONE YURBUDS,BLU/BLK,4,158,2,59.98,0,0,0,AA
MISACCACC,YURBUD,HEADPHONE YURBUDS,BLU/BLK,4,158,1,29.99,2,56.98,56.27,NOV
MISACCACC,YURBUD,HEADPHONE YURBUDS,BLU/BLK,4,158,1,29.99,2,59.98,58.45,NVL
MISACCACC,YURBUD,HEADPHONE YURBUDS,BLU/BLK,4,158,0,0,2,59.98,58.45,WB
MISACCACC,YURBUD,HEADPHONE YURBUDS,BLU/BLK,4,158,1,29.99,1,29.99,58.45,TC2
MISACCACC,YURBUD,HEADPHONE YURBUDS,BLU/BLK,4,158,2,59.98,1,29.99,58.45,TC1
MISACCACC,YURBUD,HEADPHONE YURBUDS,BLU/BLK,4,158,0,0,3,89.97,58.45,AAW
MISACCACC,YURBUD,HEADPHONE YURBUDS,BLU/BLK,5,159,7,209.93,1,29.99,50.25,AA
MISACCACC,YURBUD,HEADPHONE YURBUDS,BLU/BLK,5,159,6,179.94,2,59.98,50.25,NOV
MISACCACC,YURBUD,HEADPHONE YURBUDS,BLU/BLK,5,159,4,119.96,1,26.99,44.72,NVL
MISACCACC,YURBUD,HEADPHONE YURBUDS,BLU/BLK,5,159,6,179.94,2,59.98,50.25,WB
MISACCACC,YURBUD,HEADPHONE YURBUDS,BLU/BLK,5,159,10,299.9,0,0,0,TC2
MISACCACC,YURBUD,HEADPHONE YURBUDS,BLU/BLK,5,159,8,239.92,0,0,0,TC1
MISACCACC,YURBUD,HEADPHONE YURBUDS,BLU/BLK,5,159,4,119.96,4,119.96,50.25,AAW
MISACCACC,YURBUD,HEADPHONE YURBUDS,BLU/BLK,6,161,5,149.95,0,0,0,AA
MISACCACC,YURBUD,HEADPHONE YURBUDS,BLU/BLK,6,161,5,149.95,1,29.99,51.12,NOV
MISACCACC,YURBUD,HEADPHONE YURBUDS,BLU/BLK,6,161,5,149.95,0,0,0,NVL
MISACCACC,YURBUD,HEADPHONE YURBUDS,BLU/BLK,6,161,2,59.98,3,89.97,51.12,WB
MISACCACC,YURBUD,HEADPHONE YURBUDS,BLU/BLK,6,161,5,149.95,1,29.99,51.12,TC2
MISACCACC,YURBUD,HEADPHONE YURBUDS,BLU/BLK,6,161,6,179.94,0,0,0,TC1
MISACCACC,YURBUD,HEADPHONE YURBUDS,BLU/BLK,6,161,5,149.95,0,0,0,AAW
MISACCACC,YURBUD,HEADPHONE YURBUDS,BLU/BLK,7,162,2,59.98,0,0,0,AA
MISACCACC,YURBUD,HEADPHONE YURBUDS,BLU/BLK,7,162,4,119.96,0,0,0,NOV
MISACCACC,YURBUD,HEADPHONE YURBUDS,BLU/BLK,7,162,-3,-89.97,2,59.98,52.52,NVL
MISACCACC,YURBUD,HEADPHONE YURBUDS,BLU/BLK,7,162,2,59.98,1,29.99,52.52,WB
MISACCACC,YURBUD,HEADPHONE YURBUDS,BLU/BLK,7,162,5,149.95,1,29.99,52.52,TC2
MISACCACC,YURBUD,HEADPHONE YURBUDS,BLU/BLK,7,162,3,89.97,0,0,0,TC1
MISACCACC,YURBUD,HEADPHONE YURBUDS,BLU/BLK,7,162,2,59.98,0,0,0,AAW
MISELE,GARMIN,ANT+ STICK,BLK,ONE,164,1,49.99,0,0,0,NOV
MISACCACC,GARMIN,HRM ELASTIC STRAP,BLK,L,165,2,19.98,0,0,0,NOV
MISACCACC,GARMIN,HRM ELASTIC STRAP,BLK,L,165,2,19.98,0,0,0,TC2
MISACCACC,GARMIN,HRM ELASTIC STRAP,BLK,L,165,1,9.99,0,0,0,TC1
SHOWALW,NB,WW812WT,B,6,181,1,104.99,0,0,0,NVL
SHORUNW,ASICS,DS TRAINER 13,B,11,186,-1,-99.99,1,69.99,23.37,NVL
APPCAPM,NIKE,CAP RF FEATHER LITE,445,ONE,188,0,0,2,37.98,73.67,NOV
SHORUNM,MIZUNO,RIDER 11,D,7,193,1,94.99,0,0,0,AAW
SHOWALW,NB,WW812WT,B,8,194,1,104.99,0,0,0,TC1
SHOWALW,NB,WW812WT,B,8.5,195,3,314.97,0,0,0,TC1
MISACCACC,NATHAN,BOTTLE STEEL W FLIP,HOPE,700ML,207,2,39.98,0,0,0,AA
MISACCACC,NATHAN,BOTTLE STEEL W FLIP,HOPE,700ML,207,1,19.99,0,0,0,NOV
MISACCACC,NATHAN,BOTTLE STEEL W FLIP,HOPE,700ML,207,2,39.98,0,0,0,AAW
MISACCACC,NATHAN,BOTTLE STEEL W FLIP,JPN FLWR,700ML,210,1,19.99,0,0,0,AA
MISACCACC,NATHAN,BOTTLE STEEL W FLIP,JPN FLWR,700ML,210,1,19.99,0,0,0,NOV
MISACCACC,NATHAN,BOTTLE STEEL W FLIP,JPN FLWR,700ML,210,-1,-19.99,0,0,0,NVL
MISACCACC,NATHAN,5K RUNNING PAK,B,ONE,211,1,24.99,0,0,0,TC1
MISACCACC,NATHAN,5K RUNNING PAK,B,ONE,211,1,24.99,0,0,0,AAW
MISACCACC,NATHAN,5K RUNNING PAK,NY,ONE,213,1,24.99,2,49.98,54.98,TC2
MISACCACC,NATHAN,5K RUNNING PAK,NY,ONE,213,2,49.98,0,0,0,TC1
MISACCACC,NATHAN,5K RUNNING PAK,NY,ONE,213,-1,-24.99,0,0,0,AAW
SHOWALW,NB,WW812WT,B,10,215,1,104.99,0,0,0,NVL
SHOWALW,NB,WW812WT,B,10,215,1,104.99,0,0,0,TC1
MISACCACC,PENGUI,SPIKE WRENCH,,ONE,216,-1,-5.99,0,0,0,AA
MISACCACC,PENGUI,SPIKE WRENCH,,ONE,216,1,5.99,0,0,0,WB
MISACCACC,PENGUI,SPIKE WRENCH,,ONE,216,-1,-5.99,0,0,0,TC1
MISACCACC,PENGUI,SPIKE WRENCH,,ONE,216,3,17.97,0,0,0,AAW
APPSHIW,SKIRT,TOP TWILIGHT TANK,66,S,219,0,0,1,27.49,7.97,TC2
APPSOCM,WRIGHT,SOCK DLX QUARTER,4,S,226,-1,-11.99,0,0,0,NVL
APPSOCM,WRIGHT,SOCK DLX QUARTER,4,S,226,1,11.99,0,0,0,AAW
SHORUNM,MIZUNO,PRECISION 11,D,12,256,-1,-96.99,1,58.19,8.32,NVL
APPSHIW,BROOKS,TOP D'LITE REV RCBK,545,S,261,2,79.98,0,0,0,AA
APPSHIW,BROOKS,TOP D'LITE REV RCBK,545,S,261,2,79.98,0,0,0,NVL
APPSHIW,BROOKS,TOP D'LITE REV RCBK,545,S,261,1,39.99,0,0,0,TC2
