Str,Sold,ExtP$,Day,WDay,Hr
AA,2,83.99,1,Fri,9
AA,6,396.94,1,Mon,10
AA,5,223.56,1,Fri,10
AA,5,217.95,1,Mon,11
AA,15,494.87,1,Fri,11
AA,6,381.94,1,Mon,12
AA,10,341.50,1,Fri,12
AA,8,521.92,1,Mon,13
AA,9,405.91,1,Fri,13
AA,3,98.99,1,Mon,14
AA,24,822.18,1,Fri,14
AA,4,334.96,1,Mon,15
AA,13,679.94,1,Fri,15
AA,4,234.96,1,Mon,16
AA,20,610.69,1,Fri,16
AA,4,202.89,1,Mon,17
AA,10,331.91,1,Fri,17
AA,2,224.98,1,Mon,18
AA,13,530.55,1,Fri,18
AA,4,324.96,1,Mon,19
AA,33,420.02,1,Fri,19
AA,7,149.23,2,Tue,9
AA,24,720.89,2,Sat,9
AA,3,188.97,2,Tue,10
AA,6,238.44,2,Wed,10
AA,29,807.48,2,Sat,10
AA,12,440.50,2,Wed,11
AA,26,858.75,2,Sat,11
AA,3,244.97,2,Tue,12
AA,4,387.46,2,Wed,12
AA,41,1317.62,2,Sat,12
AA,5,407.95,2,Tue,13
AA,4,136.46,2,Wed,13
AA,40,1392.82,2,Sat,13
AA,7,303.38,2,Tue,14
AA,4,6.48,2,Wed,14
AA,16,871.20,2,Sat,14
AA,3,189.97,2,Tue,15
AA,7,494.94,2,Wed,15
AA,16,1024.54,2,Sat,15
AA,3,259.27,2,Tue,16
AA,3,121.97,2,Wed,16
AA,33,1236.51,2,Sat,16
AA,5,141.45,2,Tue,17
AA,7,54.95,2,Wed,17
AA,27,1059.72,2,Sat,17
AA,14,324.47,2,Tue,18
AA,3,107.97,2,Wed,18
AA,6,313.95,2,Sat,18
AA,1,109.99,2,Tue,19
AA,2,169.98,2,Wed,19
AA,-1,-99.99,3,Thu,9
AA,3,82.98,3,Wed,10
AA,2,34.48,3,Thu,10
AA,6,373.94,3,Wed,11
AA,2,80.98,3,Thu,11
AA,72,730.59,3,Sun,12
AA,7,538.43,3,Wed,12
AA,4,392.96,3,Thu,12
AA,26,1440.91,3,Sun,13
AA,11,528.99,3,Wed,13
AA,16,614.15,3,Sun,14
AA,9,590.91,3,Wed,14
AA,4,126.66,3,Thu,14
AA,35,1180.49,3,Sun,15
AA,2,197.98,3,Wed,15
AA,99,107.51,3,Thu,15
AA,12,697.90,3,Sun,16
AA,13,352.71,3,Wed,16
AA,3,19.71,3,Thu,16
AA,3,63.57,3,Sun,17
AA,3,242.97,3,Wed,17
AA,7,211.23,3,Thu,17
AA,25,221.66,3,Wed,18
AA,1,98.99,3,Thu,18
AA,2,94.98,3,Wed,19
AA,7,407.90,3,Thu,19
AA,3,83.97,4,Mon,9
AA,4,277.86,4,Mon,10
AA,2,236.48,4,Thu,10
AA,8,202.96,4,Fri,10
AA,3,65.97,4,Mon,11
AA,1,107.99,4,Fri,11
AA,17,621.06,4,Mon,12
AA,4,246.46,4,Thu,12
AA,5,83.23,4,Fri,12
AA,7,318.93,4,Mon,13
AA,11,586.89,4,Thu,13
AA,10,294.94,4,Fri,13
AA,9,518.42,4,Mon,14
AA,4,148.97,4,Thu,14
AA,1,5.99,4,Fri,14
AA,8,348.32,4,Mon,15
AA,11,529.41,4,Thu,15
AA,4,350.56,4,Fri,15
AA,3,123.48,4,Mon,16
AA,17,818.45,4,Thu,16
AA,10,379.85,4,Fri,16
AA,7,506.93,4,Mon,17
AA,4,235.22,4,Thu,17
AA,0,15.00,4,Fri,17
AA,6,444.45,4,Mon,18
AA,23,865.24,4,Thu,18
AA,4,383.71,4,Fri,18
AA,4,313.96,4,Mon,19
AA,4,384.46,4,Thu,19
AA,2,214.98,4,Fri,19
AA,1,38.99,4,Mon,20
AA,0,9.00,4,Fri,20
AA,1,99.99,5,Tue,9
AA,8,205.48,5,Sat,9
AA,2,183.98,5,Tue,10
AA,9,610.91,5,Fri,10
AA,2,-2.01,5,Sat,10
AA,4,288.96,5,Tue,11
AA,4,484.96,5,Fri,11
AA,7,459.93,5,Sat,11
AA,5,135.87,5,Tue,12
AA,17,291.95,5,Fri,12
AA,4,180.96,5,Sat,12
AA,8,545.92,5,Tue,13
AA,21,249.89,5,Fri,13
AA,6,104.46,5,Sat,13
AA,12,434.94,5,Tue,14
AA,14,828.86,5,Fri,14
AA,5,368.46,5,Sat,14
AA,6,235.96,5,Tue,15
AA,22,656.60,5,Fri,15
AA,14,571.82,5,Sat,15
AA,8,354.96,5,Tue,16
AA,14,452.51,5,Fri,16
AA,11,807.39,5,Sat,16
AA,6,225.94,5,Tue,17
AA,5,412.45,5,Fri,17
AA,10,749.15,5,Sat,17
AA,6,247.96,5,Tue,18
AA,10,366.18,5,Fri,18
AA,0,174.50,5,Sat,18
AA,7,440.20,5,Tue,19
AA,2,105.98,5,Fri,19
AA,1,17.49,5,Fri,20
AA,1,69.99,6,Wed,9
AA,11,135.07,6,Sat,9
AA,7,327.64,6,Wed,10
AA,18,266.06,6,Sat,10
AA,5,239.95,6,Wed,11
AA,32,235.12,6,Sat,11
AA,6,531.94,6,Sun,12
AA,7,415.69,6,Wed,12
AA,21,421.89,6,Sat,12
AA,5,64.98,6,Sun,13
AA,5,89.55,6,Wed,13
AA,6,524.94,6,Sat,13
AA,13,675.39,6,Sun,14
AA,14,519.67,6,Wed,14
AA,23,967.59,6,Sat,14
AA,4,336.96,6,Sun,15
AA,4,294.96,6,Wed,15
AA,5,187.95,6,Sat,15
AA,6,232.47,6,Sun,16
AA,15,665.35,6,Wed,16
AA,11,441.99,6,Sat,16
AA,6,477.94,6,Wed,17
AA,7,417.94,6,Sat,17
AA,4,315.96,6,Wed,18
AA,4,311.96,6,Sat,18
AA,7,539.43,6,Wed,19
AA,-1,-125.99,6,Wed,20
AA,4,193.86,7,Thu,9
AA,2,139.98,7,Mon,10
AA,6,319.44,7,Thu,10
AA,6,375.25,7,Mon,11
AA,2,106.98,7,Thu,11
AA,1,15.99,7,Mon,12
AA,6,427.44,7,Thu,12
AA,13,302.42,7,Sun,13
AA,-1,-15.99,7,Mon,13
AA,13,527.29,7,Thu,13
AA,16,843.40,7,Sun,14
AA,22,1381.78,7,Mon,14
AA,6,324.29,7,Thu,14
AA,10,500.36,7,Sun,15
AA,4,120.86,7,Mon,15
AA,11,715.72,7,Thu,15
AA,5,372.95,7,Sun,16
AA,0,-20.00,7,Mon,16
AA,27,263.54,7,Thu,16
AA,2,5.00,7,Sun,17
AA,1,99.99,7,Mon,17
AA,10,497.51,7,Thu,17
AA,2,113.38,7,Mon,18
AA,11,458.44,7,Thu,18
AA,10,379.95,7,Thu,19
AA,1,86.99,7,Mon,20
AA,2,133.73,7,Thu,20
AA,1,23.99,8,Mon,9
AA,1,99.99,8,Mon,10
AA,2,209.98,8,Tue,10
AA,7,262.94,8,Fri,10
AA,6,461.94,8,Mon,11
AA,6,362.94,8,Tue,11
AA,4,288.96,8,Fri,11
AA,6,181.94,8,Mon,12
AA,3,319.97,8,Tue,12
AA,24,425.22,8,Fri,12
AA,11,746.89,8,Mon,13
AA,2,114.28,8,Tue,13
AA,39,765.95,8,Fri,13
AA,2,224.98,8,Mon,14
AA,2,128.98,8,Tue,14
AA,3,214.97,8,Fri,14
AA,4,257.86,8,Mon,15
AA,-1,-152.99,8,Tue,15
AA,2,244.98,8,Fri,15
AA,8,387.40,8,Mon,16
AA,6,233.95,8,Tue,16
AA,12,614.20,8,Fri,16
AA,7,502.33,8,Mon,17
AA,5,356.95,8,Tue,17
AA,12,550.39,8,Fri,17
AA,1,109.99,8,Mon,18
AA,12,671.35,8,Tue,18
AA,6,548.44,8,Fri,18
AA,4,304.96,8,Mon,19
AA,3,122.97,8,Tue,19
AA,6,311.94,8,Fri,19
AA,1,109.99,8,Mon,20
AA,9,-59.53,9,Sat,9
AA,3,259.97,9,Wed,10
AA,12,340.59,9,Sat,10
AA,6,251.45,9,Tue,11
AA,3,659.47,9,Wed,11
AA,36,1504.84,9,Sat,11
AA,13,121.99,9,Tue,12
AA,12,555.40,9,Wed,12
AA,24,1349.67,9,Sat,12
AA,5,238.95,9,Tue,13
AA,3,155.97,9,Wed,13
AA,8,586.72,9,Sat,13
AA,4,208.96,9,Tue,14
AA,2,134.98,9,Wed,14
AA,22,1219.58,9,Sat,14
AA,6,11.22,9,Tue,15
AA,2,156.98,9,Wed,15
AA,22,1073.58,9,Sat,15
AA,4,300.96,9,Tue,16
AA,4,268.96,9,Wed,16
AA,11,328.92,9,Sat,16
AA,4,205.96,9,Tue,17
AA,52,254.96,9,Wed,17
AA,25,1317.80,9,Sat,17
AA,27,523.95,9,Tue,18
AA,2,159.98,9,Wed,18
AA,17,809.89,9,Sat,18
AA,4,165.97,9,Tue,19
AA,3,226.97,9,Wed,19
AA,1,64.99,10,Thu,9
AA,1,98.99,10,Wed,10
AA,1,103.49,10,Thu,10
AA,12,153.65,10,Wed,11
AA,4,22.99,10,Thu,11
AA,8,512.74,10,Sun,12
AA,4,275.97,10,Wed,12
AA,1,109.99,10,Thu,12
AA,9,542.78,10,Sun,13
AA,4,279.96,10,Wed,13
AA,0,-4.00,10,Thu,13
AA,12,947.38,10,Sun,14
AA,4,243.96,10,Thu,14
AA,16,1587.84,10,Sun,15
AA,1,84.99,10,Wed,15
AA,2,126.98,10,Thu,15
AA,16,987.38,10,Sun,16
AA,10,325.46,10,Wed,16
AA,2,160.98,10,Thu,16
AA,3,136.97,10,Sun,17
AA,1,114.99,10,Wed,17
AA,8,367.96,10,Thu,17
AA,6,134.88,10,Wed,18
AA,1,99.99,10,Thu,18
AA,15,364.45,10,Wed,19
AA,3,278.97,10,Thu,19
AA,5,150.40,10,Wed,20
AA,0,0.00,11,Mon,9
AA,3,132.97,11,Thu,9
AA,5,302.95,11,Fri,10
AA,2,111.24,11,Mon,11
AA,6,503.94,11,Thu,11
AA,4,237.96,11,Fri,11
AA,4,127.46,11,Mon,12
AA,30,185.84,11,Thu,12
AA,1,119.99,11,Fri,12
AA,4,274.96,11,Mon,13
AA,4,194.96,11,Thu,13
AA,3,161.97,11,Fri,13
AA,14,592.19,11,Mon,14
AA,3,244.48,11,Thu,14
AA,5,190.95,11,Fri,14
AA,8,345.93,11,Mon,15
AA,6,295.94,11,Thu,15
AA,4,265.96,11,Fri,15
AA,11,570.90,11,Mon,16
AA,8,337.47,11,Thu,16
AA,2,67.98,11,Fri,16
AA,8,454.78,11,Mon,17
AA,4,294.46,11,Thu,17
AA,4,290.22,11,Fri,17
AA,10,763.90,11,Mon,18
AA,7,415.94,11,Thu,18
AA,2,122.74,11,Fri,18
AA,10,598.66,11,Mon,19
AA,9,224.96,11,Thu,19
AA,1,11.99,11,Fri,19
AA,2,99.99,11,Mon,20
AA,3,125.27,12,Fri,9
AA,2,69.48,12,Sat,9
AA,6,263.64,12,Tue,10
AA,14,909.37,12,Sat,10
AA,2,126.98,12,Tue,11
AA,3,51.97,12,Fri,11
AA,9,704.91,12,Sat,11
AA,8,630.42,12,Tue,12
AA,7,10.65,12,Fri,12
AA,10,884.31,12,Sat,12
AA,9,529.41,12,Tue,13
AA,6,116.99,12,Fri,13
AA,12,728.91,12,Sat,13
AA,12,212.93,12,Tue,14
AA,3,155.87,12,Fri,14
AA,9,360.91,12,Sat,14
AA,1,0.99,12,Tue,15
AA,18,680.72,12,Sat,15
AA,8,563.42,12,Tue,16
AA,1,3.39,12,Fri,16
AA,13,514.87,12,Sat,16
AA,12,626.66,12,Tue,17
AA,6,293.94,12,Fri,17
AA,11,456.39,12,Sat,17
AA,7,510.94,12,Tue,18
AA,19,934.62,12,Fri,18
AA,6,279.84,12,Tue,19
AA,5,17.95,12,Fri,19
AA,5,180.95,12,Fri,20
AA,11,276.97,13,Wed,10
AA,8,471.92,13,Sat,10
AA,1,109.99,13,Wed,11
AA,9,764.21,13,Sat,11
AA,11,737.89,13,Sun,12
AA,11,547.93,13,Wed,12
AA,7,279.93,13,Sat,12
AA,4,188.97,13,Sun,13
AA,9,424.84,13,Wed,13
AA,12,690.88,13,Sat,13
AA,14,521.16,13,Sun,14
AA,6,444.94,13,Wed,14
AA,9,170.47,13,Sat,14
AA,8,431.72,13,Sun,15
AA,11,748.60,13,Wed,15
AA,29,926.39,13,Sat,15
AA,4,289.07,13,Sun,16
AA,20,716.28,13,Wed,16
AA,13,801.37,13,Sat,16
AA,6,555.19,13,Wed,17
AA,9,301.92,13,Sat,17
AA,2,110.38,13,Wed,18
AA,7,243.47,13,Wed,19
AA,0,-2.00,14,Mon,9
AA,3,163.97,14,Thu,9
AA,8,189.24,14,Thu,10
AA,6,341.95,14,Thu,11
AA,2,120.98,14,Sun,12
AA,5,136.96,14,Mon,12
AA,6,333.94,14,Thu,12
AA,2,214.98,14,Sun,13
AA,2,124.98,14,Mon,13
AA,8,486.92,14,Thu,13
AA,2,219.98,14,Sun,14
AA,4,432.45,14,Mon,14
AA,8,389.42,14,Thu,14
AA,7,569.94,14,Sun,15
AA,4,279.96,14,Mon,15
AA,10,645.80,14,Thu,15
AA,6,207.90,14,Sun,16
AA,10,290.85,14,Mon,16
AA,7,305.57,14,Thu,16
AA,1,30.99,14,Sun,17
AA,3,121.97,14,Mon,17
AA,8,654.92,14,Thu,17
AA,3,212.97,14,Mon,18
AA,4,753.97,14,Thu,18
AA,1,1.50,14,Mon,19
AA,8,281.95,14,Thu,19
AA,5,11.53,15,Mon,9
AA,3,163.97,15,Fri,9
AA,5,289.95,15,Mon,10
AA,1,109.99,15,Tue,10
AA,4,184.97,15,Fri,10
AA,0,5.00,15,Tue,11
AA,7,124.99,15,Fri,11
AA,5,310.95,15,Mon,12
AA,6,439.94,15,Tue,12
AA,33,1531.63,15,Fri,12
AA,2,126.98,15,Mon,13
AA,6,390.35,15,Tue,13
AA,8,431.38,15,Fri,13
AA,2,244.98,15,Mon,14
AA,6,248.94,15,Tue,14
AA,29,671.77,15,Fri,14
AA,3,217.48,15,Mon,15
AA,1,3.99,15,Tue,15
AA,2,202.48,15,Fri,15
AA,3,73.87,15,Mon,16
AA,3,251.47,15,Tue,16
AA,11,632.00,15,Fri,16
AA,4,432.96,15,Mon,17
AA,6,312.85,15,Tue,17
AA,16,1047.45,15,Fri,17
AA,2,141.98,15,Mon,18
AA,5,181.95,15,Tue,18
AA,1,19.99,15,Fri,18
AA,1,39.99,15,Mon,19
AA,4,340.24,15,Tue,19
AA,10,507.81,15,Fri,19
AA,1,30.99,16,Tue,9
AA,1,18.99,16,Wed,9
AA,36,256.02,16,Sat,9
AA,3,189.97,16,Tue,10
AA,6,473.84,16,Sat,10
AA,5,256.96,16,Tue,11
AA,5,244.37,16,Wed,11
AA,10,97.26,16,Sat,11
AA,8,529.88,16,Tue,12
AA,12,88.72,16,Wed,12
AA,13,541.55,16,Sat,12
AA,9,368.02,16,Tue,13
AA,1,119.99,16,Wed,13
AA,20,1075.85,16,Sat,13
AA,5,317.95,16,Tue,14
AA,2,133.98,16,Wed,14
AA,39,1016.84,16,Sat,14
AA,8,550.92,16,Tue,15
AA,33,357.93,16,Wed,15
AA,18,650.88,16,Sat,15
AA,7,532.93,16,Tue,16
AA,5,203.46,16,Wed,16
AA,26,879.24,16,Sat,16
AA,12,489.67,16,Tue,17
AA,4,208.46,16,Wed,17
AA,13,906.53,16,Sat,17
AA,7,353.93,16,Tue,18
AA,2,103.48,16,Wed,18
AA,1,18.99,16,Tue,19
AA,4,408.96,16,Wed,19
AA,2,62.48,16,Wed,20
AA,6,9.00,17,Wed,9
AA,4,203.96,17,Wed,10
AA,5,188.45,17,Wed,11
AA,15,448.91,17,Sun,12
AA,6,248.96,17,Wed,12
AA,1,41.99,17,Thu,12
AA,8,205.82,17,Sun,13
AA,6,335.95,17,Wed,13
AA,2,103.98,17,Thu,13
AA,15,902.45,17,Sun,14
AA,8,315.45,17,Wed,14
AA,1,114.99,17,Thu,14
AA,23,1243.24,17,Sun,15
AA,1,99.99,17,Wed,15
AA,9,231.71,17,Thu,15
AA,21,989.85,17,Sun,16
AA,4,337.96,17,Wed,16
AA,11,396.31,17,Thu,16
AA,5,459.95,17,Wed,17
AA,6,237.46,17,Thu,17
AA,5,172.95,17,Wed,18
AA,3,223.97,17,Thu,18
AA,1,9.89,17,Wed,19
AA,2,191.48,17,Thu,19
AA,4,298.96,17,Wed,20
AA,1,20.99,18,Mon,10
AA,5,242.95,18,Thu,10
AA,6,269.96,18,Fri,10
AA,6,354.44,18,Mon,11
AA,28,219.96,18,Thu,11
AA,4,113.96,18,Fri,11
AA,5,292.46,18,Mon,12
AA,4,269.96,18,Thu,12
AA,14,413.22,18,Fri,12
AA,5,489.95,18,Mon,13
AA,4,170.96,18,Thu,13
AA,11,687.67,18,Mon,14
AA,5,221.37,18,Thu,14
AA,5,304.46,18,Fri,14
AA,9,756.91,18,Mon,15
AA,15,417.18,18,Fri,15
AA,6,392.95,18,Mon,16
AA,1,109.99,18,Thu,16
AA,0,68.75,18,Fri,16
AA,7,393.95,18,Mon,17
AA,2,112.49,18,Thu,17
AA,4,165.96,18,Fri,17
AA,13,624.83,18,Mon,18
AA,2,128.33,18,Thu,18
AA,1,29.99,18,Fri,18
AA,2,148.48,18,Mon,19
AA,14,441.69,18,Thu,19
AA,2,158.98,18,Fri,19
AA,2,299.99,19,Sat,9
AA,27,282.97,19,Tue,10
AA,8,358.47,19,Fri,10
AA,8,409.52,19,Sat,10
AA,29,775.87,19,Tue,11
AA,4,329.96,19,Fri,11
AA,12,818.34,19,Sat,11
AA,3,111.57,19,Tue,12
AA,4,262.47,19,Fri,12
AA,26,848.30,19,Sat,12
AA,5,72.95,19,Tue,13
AA,9,412.84,19,Fri,13
AA,9,430.45,19,Sat,13
AA,2,69.98,19,Tue,14
AA,3,103.99,19,Fri,14
AA,9,436.52,19,Sat,14
AA,13,783.78,19,Tue,15
AA,1,109.99,19,Fri,15
AA,10,732.40,19,Sat,15
AA,9,370.87,19,Tue,16
AA,9,519.91,19,Fri,16
AA,12,848.18,19,Sat,16
AA,7,272.55,19,Tue,17
AA,3,308.97,19,Fri,17
AA,1,109.99,19,Sat,17
AA,3,154.95,19,Tue,18
AA,9,167.97,19,Fri,18
AA,3,242.73,19,Sat,18
AA,5,530.95,19,Tue,19
AA,2,203.48,19,Fri,19
AA,3,151.48,19,Fri,20
AA,4,146.96,20,Wed,9
AA,3,153.87,20,Sat,9
AA,5,201.95,20,Wed,10
AA,7,274.21,20,Sat,10
AA,8,233.16,20,Wed,11
AA,8,295.52,20,Sat,11
AA,2,180.98,20,Sun,12
AA,5,303.95,20,Wed,12
AA,14,833.38,20,Sat,12
AA,10,591.80,20,Sun,13
AA,9,184.94,20,Wed,13
AA,14,786.80,20,Sat,13
AA,8,470.73,20,Sun,14
AA,6,240.06,20,Wed,14
AA,-1,-109.99,20,Sat,14
AA,3,149.97,20,Sun,15
AA,13,245.19,20,Wed,15
AA,16,698.24,20,Sat,15
AA,10,589.41,20,Sun,16
AA,32,394.82,20,Wed,16
AA,14,679.98,20,Sat,16
AA,3,129.97,20,Sun,17
AA,7,250.44,20,Wed,17
AA,11,758.17,20,Sat,17
AA,7,395.63,20,Wed,18
AA,2,126.98,20,Sat,18
AA,3,133.37,20,Wed,19
AA,2,19.98,21,Thu,9
AA,4,199.96,21,Mon,10
AA,8,416.44,21,Thu,10
AA,3,178.97,21,Mon,11
AA,3,240.97,21,Thu,11
AA,18,682.90,21,Sun,12
AA,8,508.92,21,Thu,12
AA,8,210.47,21,Sun,13
AA,9,596.71,21,Mon,13
AA,4,165.76,21,Thu,13
AA,9,477.42,21,Sun,14
AA,5,549.95,21,Mon,14
AA,13,492.13,21,Thu,14
AA,12,796.80,21,Sun,15
AA,6,282.94,21,Mon,15
AA,9,355.33,21,Thu,15
AA,12,665.88,21,Sun,16
AA,6,443.94,21,Mon,16
AA,16,583.90,21,Thu,16
AA,4,241.96,21,Mon,17
AA,12,313.54,21,Thu,17
AA,16,184.91,21,Mon,18
AA,12,296.19,21,Thu,18
AA,3,86.27,21,Mon,19
AA,12,519.27,21,Thu,19
AA,1,29.99,22,Mon,9
AA,2,143.98,22,Fri,9
